Time,Time,Flow
2019,0,56133.0
2019,1,8417.0
2019,2,11441.0
2019,3,35494.0
2019,4,6224.0
2019,5,339321.0
2019,6,456463.0
2019,7,243014.0
2019,8,192427.0
2019,9,155453.0
2019,10,73489.0
2019,11,112426.0
2019,12,130069.0
2019,13,194646.0
2019,14,199316.0
2019,15,249661.0
2019,16,245167.0
2019,17,207040.0
2019,18,240084.0
2019,19,244449.0
2019,20,184750.0
2019,21,65321.0
2019,22,152992.0
2019,23,65642.0
2020,0,47453.0
2020,1,41340.0
2020,2,51480.0
2020,3,13079.0
2020,4,25255.0
2020,5,63652.0
2020,6,427329.0
2020,7,383132.0
2020,8,338189.0
2020,9,290962.0
2020,10,300290.0
2020,11,313738.0
2020,12,256011.0
2020,13,244540.0
2020,14,557504.0
2020,15,609929.0
2020,16,613064.0
2020,17,382080.0
2020,18,299218.0
2020,19,149030.0
2020,20,227745.0
2020,21,102503.0
2020,22,82144.0
2020,23,77135.0
