Time,Time,Flow
0,2019,56133.0
0,2020,47453.0
1,2019,8417.0
1,2020,41340.0
2,2019,11441.0
2,2020,51480.0
3,2019,35494.0
3,2020,13079.0
4,2019,6224.0
4,2020,25255.0
5,2019,339321.0
5,2020,63652.0
6,2019,456463.0
6,2020,427329.0
7,2019,243014.0
7,2020,383132.0
8,2019,192427.0
8,2020,338189.0
9,2019,155453.0
9,2020,290962.0
10,2019,73489.0
10,2020,300290.0
11,2019,112426.0
11,2020,313738.0
12,2019,130069.0
12,2020,256011.0
13,2019,194646.0
13,2020,244540.0
14,2019,199316.0
14,2020,557504.0
15,2019,249661.0
15,2020,609929.0
16,2019,245167.0
16,2020,613064.0
17,2019,207040.0
17,2020,382080.0
18,2019,240084.0
18,2020,299218.0
19,2019,244449.0
19,2020,149030.0
20,2019,184750.0
20,2020,227745.0
21,2019,65321.0
21,2020,102503.0
22,2019,152992.0
22,2020,82144.0
23,2019,65642.0
23,2020,77135.0
