Month,Day,Fixture,Worker,Flow
August,Friday,Bidet,0,"(66.999, 8348.4]"
August,Friday,Bidet,1,"(8348.4, 13440.2]"
August,Friday,Kitchenfaucet,0,"(18289.4, 24180.2]"
August,Friday,Kitchenfaucet,1,"(53747.8, 68376.4]"
August,Friday,Shower,0,"(41667.2, 53747.8]"
August,Friday,Shower,1,"(68376.4, 93713.2]"
August,Friday,Washbasin,0,"(8348.4, 13440.2]"
August,Friday,Washbasin,1,"(18289.4, 24180.2]"
August,Monday,Bidet,0,"(66.999, 8348.4]"
August,Monday,Bidet,1,"(8348.4, 13440.2]"
August,Monday,Kitchenfaucet,0,"(41667.2, 53747.8]"
August,Monday,Kitchenfaucet,1,"(18289.4, 24180.2]"
August,Monday,Shower,0,"(31333.0, 41667.2]"
August,Monday,Shower,1,"(24180.2, 31333.0]"
August,Monday,Washbasin,0,"(24180.2, 31333.0]"
August,Monday,Washbasin,1,"(18289.4, 24180.2]"
August,Saturday,Bidet,0,"(66.999, 8348.4]"
August,Saturday,Bidet,1,"(13440.2, 18289.4]"
August,Saturday,Kitchenfaucet,0,"(18289.4, 24180.2]"
August,Saturday,Kitchenfaucet,1,"(53747.8, 68376.4]"
August,Saturday,Shower,0,"(8348.4, 13440.2]"
August,Saturday,Shower,1,"(93713.2, 197153.0]"
August,Saturday,Washbasin,0,"(13440.2, 18289.4]"
August,Saturday,Washbasin,1,"(31333.0, 41667.2]"
August,Sunday,Bidet,0,"(66.999, 8348.4]"
August,Sunday,Bidet,1,"(18289.4, 24180.2]"
August,Sunday,Kitchenfaucet,0,"(66.999, 8348.4]"
August,Sunday,Kitchenfaucet,1,"(68376.4, 93713.2]"
August,Sunday,Shower,0,"(24180.2, 31333.0]"
August,Sunday,Shower,1,"(93713.2, 197153.0]"
August,Sunday,Washbasin,0,"(18289.4, 24180.2]"
August,Sunday,Washbasin,1,"(41667.2, 53747.8]"
August,Thursday,Bidet,0,"(8348.4, 13440.2]"
August,Thursday,Bidet,1,"(8348.4, 13440.2]"
August,Thursday,Kitchenfaucet,0,"(66.999, 8348.4]"
August,Thursday,Kitchenfaucet,1,"(53747.8, 68376.4]"
August,Thursday,Shower,0,"(41667.2, 53747.8]"
August,Thursday,Shower,1,"(93713.2, 197153.0]"
August,Thursday,Washbasin,0,"(66.999, 8348.4]"
August,Thursday,Washbasin,1,"(24180.2, 31333.0]"
August,Tuesday,Bidet,0,"(66.999, 8348.4]"
August,Tuesday,Bidet,1,"(8348.4, 13440.2]"
August,Tuesday,Kitchenfaucet,0,"(31333.0, 41667.2]"
August,Tuesday,Kitchenfaucet,1,"(53747.8, 68376.4]"
August,Tuesday,Shower,0,"(31333.0, 41667.2]"
August,Tuesday,Shower,1,"(53747.8, 68376.4]"
August,Tuesday,Washbasin,0,"(66.999, 8348.4]"
